timestamp,action,combined,call_strike,put_strike,vwap
2025-12-12T10:04:09.779040-05:00,CHECK,0.46,695,685,0.3772695035460992
2025-12-12T10:05:12.168890-05:00,CHECK,0.485,695,685,0.3876797385620914
2025-12-12T10:06:14.386025-05:00,CHECK,0.495,695,685,0.38835483870967735
2025-12-12T10:07:17.460699-05:00,CHECK,0.5750000000000001,695,685,0.39381538461538457
2025-12-12T10:08:19.581352-05:00,CHECK,0.6050000000000001,695,685,0.39457055214723924
2025-12-12T10:09:22.007085-05:00,CHECK,0.815,695,685,0.45840616966580977
2025-12-12T10:10:24.231652-05:00,CHECK,0.625,695,685,0.4555415617128463
2025-12-12T10:11:27.414280-05:00,CHECK,0.54,695,685,0.4575061728395062
2025-12-12T10:12:29.983027-05:00,CHECK,0.61,695,685,0.4617548076923077
2025-12-12T10:13:32.209486-05:00,CHECK,0.645,695,685,0.4690023201856149
2025-12-12T10:14:34.439861-05:00,CHECK,0.645,695,685,0.4705694760820046
2025-12-12T10:15:37.919101-05:00,CHECK,0.675,695,685,0.47095454545454546
2025-12-12T10:16:40.487777-05:00,CHECK,0.745,695,685,0.4874678111587983
2025-12-12T10:17:42.808434-05:00,CHECK,0.755,695,685,0.4910714285714285
2025-12-12T10:18:45.039241-05:00,CHECK,0.685,695,685,0.5015968063872255
2025-12-12T10:19:47.509922-05:00,CHECK,0.655,695,685,0.5025992063492063
2025-12-12T10:20:50.439626-05:00,CHECK,0.715,695,685,0.5032741617357002
2025-12-12T10:21:52.914367-05:00,CHECK,0.85,695,685,0.5127969348659004
2025-12-12T10:22:55.133675-05:00,CHECK,0.725,695,685,0.5175849056603774
2025-12-12T10:23:57.606715-05:00,CHECK,0.79,695,685,0.5204104477611942
2025-12-12T10:24:59.727226-05:00,CHECK,1.0550000000000002,695,685,0.5369675090252709
2025-12-12T10:26:01.947938-05:00,CHECK,1.2,695,685,0.5528169014084509
2025-12-12T10:27:04.870938-05:00,CHECK,1.1,695,685,0.5791864406779661
2025-12-12T10:28:07.392274-05:00,CHECK,1.26,695,685,0.5873121869782971
2025-12-12T10:29:09.970004-05:00,CHECK,1.57,695,685,0.6349443561208267
2025-12-12T10:30:12.595535-05:00,CHECK,1.8849999999999998,695,685,0.6872575757575757
2025-12-12T10:31:14.715404-05:00,CHECK,1.78,695,685,0.7022835820895522
2025-12-12T10:32:18.848891-05:00,CHECK,1.645,695,685,0.7058035714285713
2025-12-12T10:33:21.323453-05:00,CHECK,1.47,695,685,0.7247756874095512
2025-12-12T10:34:23.923584-05:00,CHECK,1.46,695,685,0.7338801711840227
2025-12-12T10:35:30.581468-05:00,CHECK,0.495,690,680,0.7621756978653531
2025-12-12T10:35:30.582286-05:00,SELL_STRADDLE,0.495,690,680,0.7621756978653531
2025-12-12T10:53:01.050248-05:00,CHECK,1.285,695,685,0.7714321295143212
2025-12-12T10:54:03.988319-05:00,CHECK,1.34,695,685,0.7803308823529411
2025-12-12T10:55:07.717564-05:00,CHECK,1.555,695,685,0.7842265529841657
2025-12-12T10:56:10.195336-05:00,CHECK,1.7049999999999998,695,685,0.7918357487922705
2025-12-12T10:57:12.419594-05:00,CHECK,1.74,695,685,0.7996047904191618
2025-12-12T10:58:16.004982-05:00,CHECK,1.955,695,685,0.802425328554361
2025-12-12T10:59:20.591316-05:00,CHECK,1.3049999999999997,695,685,0.8112500000000001
2025-12-12T11:00:23.820690-05:00,CHECK,1.3250000000000002,695,685,0.8256619385342793
2025-12-12T11:01:28.201636-05:00,CHECK,2.9099999999999997,695,685,0.8370387779083434
2025-12-12T11:02:30.693064-05:00,CHECK,3.095,695,685,0.8512368728121353
2025-12-12T11:03:33.579720-05:00,CHECK,3.3800000000000003,695,685,0.8574505238649593
2025-12-12T11:04:35.954824-05:00,CHECK,4.015,695,685,0.930534090909091
2025-12-12T11:05:39.331599-05:00,CHECK,3.6350000000000002,695,685,0.966206509539843
2025-12-12T11:06:41.704867-05:00,CHECK,3.2399999999999998,695,685,0.9731208053691277
2025-12-12T11:07:43.931065-05:00,CHECK,3.4099999999999997,695,685,0.9731208053691277
2025-12-12T11:08:46.055320-05:00,CHECK,3.57,695,685,0.9731208053691277
2025-12-12T11:09:49.283117-05:00,CHECK,3.72,695,685,0.9731208053691277
2025-12-12T11:10:51.758855-05:00,CHECK,3.98,695,685,0.9765251396648046
2025-12-12T11:11:55.740848-05:00,CHECK,1.185,685,675,1.577814070351759
2025-12-12T11:11:55.743010-05:00,SELL_STRADDLE,1.185,685,675,1.577814070351759
2025-12-12T11:12:48.574276-05:00,CHECK,3.7,695,685,0.9875167037861916
2025-12-12T11:13:50.997433-05:00,CHECK,3.53,695,685,0.9875167037861916
2025-12-12T11:14:55.682367-05:00,CHECK,1.11,685,675,1.5573549883990718
2025-12-12T11:14:55.684425-05:00,SELL_STRADDLE,1.11,685,675,1.5573549883990718
2025-12-12T11:42:50.644470-05:00,CHECK,0.7250000000000001,685,675,1.265205298013245
2025-12-12T11:42:50.648096-05:00,SELL_STRADDLE,0.7250000000000001,685,675,1.265205298013245
2025-12-12T12:15:57.781117-05:00,CHECK,1.86,695,685,1.1662552301255231
2025-12-12T12:17:02.474028-05:00,CHECK,1.735,695,685,1.1662552301255231
2025-12-12T12:18:06.820321-05:00,CHECK,1.5649999999999997,695,685,1.1662552301255231
2025-12-12T12:19:10.003153-05:00,CHECK,1.4000000000000001,695,685,1.1662552301255231
2025-12-12T12:20:12.589735-05:00,CHECK,1.405,695,685,1.1662552301255231
2025-12-12T12:21:15.837122-05:00,CHECK,1.425,695,685,1.1662552301255231
2025-12-12T12:22:19.745586-05:00,CHECK,1.335,695,685,1.1662552301255231
2025-12-12T12:23:22.926542-05:00,CHECK,1.3099999999999998,695,685,1.1668756530825495
2025-12-12T12:24:26.732974-05:00,CHECK,0.31500000000000006,690,680,0.7596791113853748
2025-12-12T12:24:26.735199-05:00,SELL_STRADDLE,0.31500000000000006,690,680,0.7596791113853748
2025-12-12T13:35:10.228567-05:00,CHECK,4.335,691,689,2.801669316375199
2025-12-12T13:40:29.164076-05:00,CHECK,0.835,686,684,2.3716873804971317
2025-12-12T13:40:29.166520-05:00,SELL_STRADDLE,0.835,686,684,2.3716873804971317
